Account Owner (ID),Address / Address 1,Address / Address 2,Address / City,Address / State,Address / Country,Address / Post Code,ARR / Amount,ARR / Currency,Creation date,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,Employees,Id,ICP,Linkedin / Link URL,Linkedin / Link Label,Linkedin / Secondary Links,Name,Last update,X / Link URL,X / Link Label,X / Secondary Links
,,,,,,,,INR,2025-07-25T12:15:04.000Z,,,[],,31457e1c-ad4f-4c8e-aa94-93d357dd2047,true,,,[],Mr. Ashish Shrivastav,2025-07-25T12:15:04.000Z,,,[]
,,,,,,,,INR,2025-06-26T12:05:14.000Z,,,[],,ba8c3594-867e-4ee4-a4da-1223c5e352e9,true,,,[],Mr. Bhavish Arora,2025-06-26T12:05:14.000Z,,,[]
,"Mayur Vihar, 225 F, Phase 1, Pocket 1",Delhi,Delhi,,India,,,INR,2024-05-29T12:18:36.000Z,,,[],,98e157ea-6511-4938-8ea7-4cb5f7758874,true,,,[],Mr. Deepak Suri,2024-05-29T12:18:36.000Z,,,[]
,Noida,,Noida,,India,,,INR,2024-05-29T12:24:07.000Z,,,[],,7fe9d261-9351-44b1-9ddb-e5ecfca3cd13,true,,,[],Mr. Kunal Kumra,2024-05-29T12:24:07.000Z,,,[]
,"CP-10 RIICO 2ND PHASE,",,JHUNJHUNU,Rajasthan,India,,,INR,2024-05-06T11:41:17.000Z,,,[],,4fb0ad39-dce3-4ab5-a32a-cfdebfb8b62b,true,,,[],Mr. Manish Kumar,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-05-10T14:39:35.000Z,,,[],,75ca84b0-aefc-4bf8-a8e3-ae7fbe104ccf,true,,,[],Mr. Muhammad Rizwan Khurja,2024-05-14T15:30:54.000Z,,,[]
,Moradabad,,,,,,,INR,2024-06-06T13:25:09.000Z,,,[],,2fa31459-7d85-48f3-9617-5743c4a866fd,true,,,[],Mr. Narendra Kumar,2024-06-06T13:25:09.000Z,,,[]
,,,,,,,,INR,2024-05-14T14:22:04.000Z,,,[],,444df09c-6601-436f-9dd5-14ebc8557fb5,true,,,[],Mr. Naveen,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-05-03T10:53:51.000Z,,,[],,ec0c3854-32bf-478f-9e3a-f02b101c178e,true,,,[],Mr. Prashant Lokhande,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-05-20T14:58:17.000Z,,,[],,335cde95-97c9-4082-8d7d-3d011ce4b3f0,true,,,[],Mr. Rajneesh Sharma,2024-05-20T14:58:17.000Z,,,[]
